DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	58	0	0	12.3225	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	58	0	0	12.3225 	0	0
UL	0.00528571	0	5	1	1	1	1	1	0	58	0	0	12.3225 	0	0
UL	0.00553571	0	5	2	1	1	1	1	0	58	0	0	12.3225 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	1029	18	0	12.3225	0	0.000669063
DL	0.0340357	3	4	0	1	1	1	1	0	58	0	0	12.3225	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	58	0	0	12.3225 	0	0
UL	0.0352857	3	5	1	1	1	1	1	0	58	0	0	12.3225 	0	0
UL	0.0355357	3	5	2	1	1	1	1	0	58	0	0	12.3225 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	1029	18	0	12.3225	0	0.000669063
UL	0.101232	10	1	0	1	12	1	1	0	730	0	0	12.3225 	0	0
UL	0.101482	10	1	1	1	12	1	1	0	730	0	0	12.3225 	0	0
UL	0.101732	10	1	2	1	12	1	1	0	730	0	0	12.3225 	0	0
UL	0.101964	10	1	3	1	11	1	1	0	11310	18	0	12.3225 	0	0.00500708
UL	0.102214	10	2	0	1	11	1	1	0	11310	18	0	12.3225 	0	0.00500708
UL	0.102464	10	2	1	1	11	1	1	0	11310	18	0	12.3225 	0	0.00500708
UL	0.102571	10	2	2	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.102821	10	2	3	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.103071	10	3	0	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.103321	10	3	1	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.103571	10	3	2	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.103821	10	3	3	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.104071	10	4	0	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.104321	10	4	1	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.104571	10	4	2	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.104821	10	4	3	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.105071	10	5	0	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.105321	10	5	1	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
UL	0.105571	10	5	2	1	3	1	1	0	3084	18	0	12.3225 	0	0.00167182
